timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,dst_mac_pcap,bssid_pcap,frame_len,ie_ids,ssid_pcap,frame_type_pcap,seq_ctl,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2025-12-21 12:04:41.598000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-45.0,1,2412,,,,0,0,99.99,444,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,63232.0,,,,Broadcast,Cisco,3952
2025-12-21 12:04:41.598000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-45.0,1,2412,,,,0,0,99.99,444,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,63216.0,,,,Broadcast,Cisco,3951
2025-12-21 12:04:41.700000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-45.0,1,2412,,,,0,0,99.99,445,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,63296.0,,,,Broadcast,Cisco,3956
2025-12-21 12:04:41.701000+00:00,beacon,f0:1d:2d:b9:f4:23,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,just4visitors,-45.0,1,2412,,,,0,0,99.99,445,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,303.0,"0,1,3,5,7,32,42,11,70,45,61,127,221,221,221,221,133,149",just4visitors,beacon,63344.0,,,,Broadcast,Cisco,3959
2025-12-21 12:04:41.701000+00:00,beacon,f0:1d:2d:b9:f4:2a,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,iotred,-45.0,1,2412,,,,0,0,99.99,446,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,392.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",iotred,beacon,63360.0,,,,Broadcast,Cisco,3960
2025-12-21 12:04:41.701000+00:00,beacon,f0:1d:2d:b9:f4:22,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,SOP,-45.0,1,2412,,,,0,0,99.99,445,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,379.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",SOP,beacon,63328.0,,,,Broadcast,Cisco,3958
2025-12-21 12:04:41.803000+00:00,beacon,f0:1d:2d:b9:f4:22,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,SOP,-80.0,1,2412,,,,0,0,99.99,447,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:22,379.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",SOP,beacon,63408.0,,,,Broadcast,Cisco,3963
2025-12-21 12:04:41.803000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-44.0,1,2412,,,,0,0,99.99,447,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,63392.0,,,,Broadcast,Cisco,3962
2025-12-21 12:04:41.803000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-44.0,1,2412,,,,0,0,99.99,446,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,63376.0,,,,Broadcast,Cisco,3961
2025-12-21 12:04:41.849000+00:00,beacon,4e:7f:a1:a6:c0:68,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,M-WM-^T-iPhone M-WM-,-51.0,1,2412,,,,0,0,99.99,448,,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,361.0,"0,1,3,5,7,32,35,42,50,48,45,61,127",ה-iPhone של Ron,beacon,11920.0,,,,Broadcast,,745
