timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,seq_ctl,frame_len,ie_ids,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2026-01-20 16:34:48.760000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-88.0,1,2412,,,,0,0,99.99,985,,55616.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3476
2026-01-20 16:34:48.965000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,985,,55648.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3478
2026-01-20 16:34:48.976000+00:00,probe-req,bc:ff:4d:5f:cd:58,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Dima,-75.0,1,2412,,,,0,0,99.99,986,Espressi,19648.0,86.0,"1,50",1:8b9682840c183060;50:6c122448,,,Broadcast,Broadcast,1228
2026-01-20 16:34:49.068000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-86.0,1,2412,,,,0,0,99.99,986,,55664.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3479
2026-01-20 16:34:49.101000+00:00,probe-req,bc:ff:4d:5f:cd:58,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Dima,-78.0,1,2412,,,,0,0,99.99,987,Espressi,19664.0,86.0,"1,50",1:8b9682840c183060;50:6c122448,,,Broadcast,Broadcast,1229
2026-01-20 16:34:49.170000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,987,,55680.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3480
2026-01-20 16:34:49.375000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-87.0,1,2412,,,,0,0,99.99,987,,55712.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3482
2026-01-20 16:34:49.477000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-85.0,1,2412,,,,0,0,99.99,988,,55728.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3483
2026-01-20 16:34:49.637000+00:00,beacon,3a:40:9b:19:0f:93,ff:ff:ff:ff:ff:ff,3a:40:9b:19:0f:93,ה-iPhone של Ron,-71.0,1,2412,,,,0,0,99.99,988,,30832.0,256.0,"1,50,45,61,127",1:82848b962430486c;50:0c121860;45:2d001bffff000000000000000000000000000000000000000000;61:06001500000000000000000000000000000000000000;127:0400000000000040,,,Broadcast,,1927
2026-01-20 16:34:49.682000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-86.0,1,2412,,,,0,0,99.99,989,,55760.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3485
2026-01-20 16:34:49.740000+00:00,beacon,3a:40:9b:19:0f:93,ff:ff:ff:ff:ff:ff,3a:40:9b:19:0f:93,ה-iPhone של Ron,-71.0,1,2412,,,,0,0,99.99,989,,30848.0,256.0,"1,50,45,61,127",1:82848b962430486c;50:0c121860;45:2d001bffff000000000000000000000000000000000000000000;61:06001500000000000000000000000000000000000000;127:0400000000000040,,,Broadcast,,1928
